wavelength FH;;1595.0 nm;;;;;;wavelength FH;1550.0 nm;;;;;;
wavelength SH;;797.5 nm;;;;;;wavelength SH;775.0 nm;;;;;;
Width(nm);Mode;n_eff;TE%;Loss(dB/m);Area_eff(um^2);n_g;core confinement;FSR (GHz);Ratio FSR SH/FH;Δk(λ0) (1/m);Δk * L / 2 (rad);Mismatch factor sinc(Δk L / 2);min|DET_FH| (pm);min |DET_SH| (pm);chi(2) eff (pm/V)
600;FH;1,5985;99,0%;0,000;0,957;2,0509;59,8%;25,62;0,951;2,209E+06;6,246E+03;9,987E-02;18,9529;99,1894;0,4035
;SH;1,8755;99,9%;0,000;0,303;2,1755;93,9%;24,36;;;;;;;
700;FH;1,6367;99,2%;0,000;0,888;2,0971;67,6%;25,62;0,955;2,361E+06;6,676E+03;9,622E-07;18,9530;0,2886;0,4686
;SH;1,8951;99,9%;0,000;0,328;2,1646;95,0%;24,48;;;;;;;
800;FH;1,6677;99,4%;0,000;0,856;2,1185;72,8%;25,62;0,959;2,466E+06;2,466E+06;-7,485E-06;18,9530;56,3987;0,5043
;SH;1,9086;99,9%;0,000;0,356;2,1558;95,6%;24,58;;;;;;;
900;FH;1,6925;99,5%;0,000;0,846;2,1270;76,2%;25,62;0,962;2,540E+06;7,183E+03;1,040E-04;18,9530;16,3461;0,5163
;SH;1,9183;100,0%;0,000;0,386;2,1490;95,9%;24,66;;;;;;;
1000;FH;1,7123;99,6%;0,000;0,852;2,1289;78,4%;24,86;0,994;1,683E+06;4,758E+03;2,093E-04;4,9045;61,7161;0,5090
;SH;1,9255;100,0%;0,000;0,418;2,1436;96,2%;24,72;;;;;;;
1100;FH;1,7282;99,7%;0,000;0,868;2,1275;80,1%;25,62;0,966;2,637E+06;7,457E+03;-9,998E-05;18,9530;4,9944;0,4904
;SH;1,9309;100,0%;0,000;0,450;2,1393;96,3%;24,76;;;;;;;
1200;FH;1,7411;99,8%;0,000;0,891;2,1247;81,2%;24,93;0,995;1,531E+06;4,330E+03;1,070E-04;16,1057;26,3914;0,4654
;SH;1,9351;100,0%;0,000;0,483;2,1359;96,4%;24,80;;;;;;;
1300;FH;1,7517;99,8%;0,000;0,919;2,1213;82,0%;25,62;0,969;1,101E-04;1,895E+01;4,114E+01;18,9530;41,1394;0,4375
;SH;1,9385;100,0%;0,000;0,517;2,1331;96,5%;24,83;;;;;;;
1400;FH;1,7605;99,9%;0,000;0,951;2,1178;82,7%;25,02;0,994;1,427E+06;4,035E+03;1,744E-04;40,2672;18,9341;0,4086
;SH;1,9412;100,0%;0,000;0,551;2,1308;96,6%;24,86;;;;;;;
1500;FH;1,7678;99,9%;0,000;0,987;2,1144;83,1%;25,62;0,971;2,734E+06;7,729E+03;1,159E-04;18,9530;1,6515;0,3793
;SH;1,9434;100,0%;0,000;0,585;2,1288;96,6%;24,88;;;;;;;
1600;FH;1,7740;99,9%;0,000;1,024;2,1111;83,5%;25,10;0,992;1,353E+06;3,825E+03;-2,333E-04;14,9510;4,9270;0,3524
;SH;1,9453;100,0%;0,000;0,619;2,1272;96,7%;24,90;;;;;;;
1700;FH;1,7793;99,9%;0,000;1,063;2,1081;83,8%;25,62;0,972;2,760E+06;7,803E+03;-1,169E-04;18,9530;49,9658;0,3270
;SH;1,9468;100,0%;0,000;0,654;2,1259;96,7%;24,91;;;;;;;
1800;FH;1,7838;99,9%;0,000;1,104;2,1054;84,0%;25,17;0,990;1,299E+06;3,672E+03;2,067E-05;76,4553;3,8472;0,3032
;SH;1,9481;100,0%;0,000;0,689;2,1247;96,7%;24,93;;;;;;;
