lambda_m,neff_FH,neff_SH
1.52e-06,1.6204532487161487,1.952225107876
1.525e-06,1.618944406719785,1.9516319573116945
1.5300000000000002e-06,1.6174414299162,1.951039858012004
1.5350000000000001e-06,1.615944477245066,1.9504486994248167
1.54e-06,1.614453432789648,1.9498585992902888
1.545e-06,1.6129684551764922,1.949269326687448
1.5500000000000002e-06,1.611489469260976,1.9486811196051383
1.5550000000000001e-06,1.6100166301768726,1.9480937471108368
1.56e-06,1.6085498587431064,1.947507331007189
1.565e-06,1.6070892721589591,1.946921754318407
1.57e-06,1.605634867843992,1.9463371387584567
1.5750000000000002e-06,1.6041867221311266,1.9457532533724715
1.5800000000000001e-06,1.6027447906881764,1.9451702176505128
1.585e-06,1.6013091485769717,1.944588034960622
1.59e-06,1.599879828003019,1.944006590355826
1.5950000000000002e-06,1.5984568248556923,1.943426007762872
